Rk,Season,Team,Yds,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate
1,2021,BAL,4742,17,8,9,0,0.471,387,392,-5,397,621,63.9,4742,31,34,244,9,99.4
2,2022,TEN,4671,17,7,10,0,0.412,298,359,-61,439,671,65.4,4671,29,39,264,14,93
3,2022,MIN,4515,17,13,4,0,0.765,424,427,-3,408,617,66.1,4515,23,38,241,15,91.6
4,2021,SEA,4513,17,7,10,0,0.412,395,366,29,443,658,67.3,4513,24,34,253,11,93.6
5,2023,WAS,4457,17,4,13,0,0.235,329,518,-189,396,598,66.2,4457,39,39,170,8,105.7
6,2021,NYJ,4409,17,4,13,0,0.235,310,504,-194,401,587,68.3,4409,28,33,273,7,103.2
7,2021,WAS,4333,17,7,10,0,0.412,335,434,-99,400,597,67,4333,34,38,187,11,100.8
8,2021,MIN,4300,17,8,9,0,0.471,425,426,-1,401,626,64.1,4300,29,51,378,16,91.4
9,2023,PHI,4296,17,11,6,0,0.647,433,428,5,425,652,65.2,4296,35,43,255,9,97.6
10,2021,KAN,4273,17,12,5,0,0.706,480,364,116,401,610,65.7,4273,27,31,209,15,92
11,2023,LAC,4246,17,5,12,0,0.294,346,398,-52,389,598,65.1,4246,26,48,334,9,96.4
12,2023,TAM,4232,17,9,8,0,0.529,348,325,23,404,611,66.1,4232,23,48,336,13,92
13,2023,CIN,4223,17,9,8,0,0.529,366,384,-18,364,555,65.6,4223,23,44,257,17,91.4
14,2021,CIN,4222,17,10,7,0,0.588,460,376,84,420,626,67.1,4222,26,42,276,13,93.1
15,2023,DET,4205,17,12,5,0,0.706,461,395,66,371,588,63.1,4205,28,41,357,16,91.5
16,2022,DET,4179,17,9,8,0,0.529,453,427,26,353,560,63,4179,26,39,267,12,94.2
17,2021,TEN,4169,17,12,5,0,0.706,419,354,65,395,628,62.9,4169,24,43,316,16,86.4
18,2021,DET,4160,17,3,13,1,0.206,325,467,-142,359,544,66,4160,31,30,201,11,101
19,2022,LVR,4129,17,6,11,0,0.353,395,418,-23,399,590,67.6,4129,25,27,192,6,98.8
20,2021,HOU,4117,17,4,13,0,0.235,280,452,-172,363,546,66.5,4117,27,32,225,17,94.1
21,2021,LAR,4109,17,12,5,0,0.706,460,372,88,416,625,66.6,4109,17,50,367,19,83.8
22,2023,JAX,4076,17,9,8,0,0.529,377,371,6,404,617,65.5,4076,27,40,279,16,89.8
23,2021,TAM,4062,17,13,4,0,0.765,511,353,158,445,680,65.4,4062,26,47,285,17,85.6
24,2022,JAX,4055,17,9,8,0,0.529,404,350,54,385,601,64.1,4055,25,35,203,14,89.1
25,2021,DAL,4049,17,12,5,0,0.706,530,358,172,364,612,59.5,4049,24,41,297,26,76.6
26,2023,CHI,4043,17,7,10,0,0.412,360,379,-19,410,617,66.5,4043,31,30,202,22,88
27,2022,MIA,3992,17,9,8,0,0.529,397,399,-2,416,624,66.7,3992,27,40,290,8,95.3
28,2023,MIN,3986,17,7,10,0,0.412,344,362,-18,426,606,70.3,3986,23,43,302,11,95.2
29,2021,IND,3980,17,9,8,0,0.529,451,365,86,390,597,65.3,3980,32,33,223,19,90.5
30,2023,HOU,3979,17,10,7,0,0.588,377,353,24,382,565,67.6,3979,17,46,355,14,90.1
31,2023,DEN,3972,17,8,9,0,0.471,357,413,-56,382,572,66.8,3972,29,42,330,11,98
32,2023,SEA,3961,17,9,8,0,0.529,364,402,-38,390,585,66.7,3961,21,47,298,11,92.1
33,2021,ATL,3952,17,7,10,0,0.412,313,459,-146,391,577,67.8,3952,31,18,152,12,97.4
