Player,one,two,three,four,one_two,two_three,three_four,type
Aaron Rodgers,205.54545454545453,220.16666666666666,200.0,259.14285714285717,1,-1,1,Trap Games?
Aidan O'Connell,154.33333333333334,271.0,230.75,243.0,1,-1,1,Trap Games?
Andy Dalton,175.33333333333334,188.0,236.375,228.16666666666666,1,1,-1,QB Pulled?
Baker Mayfield,178.36363636363637,239.58333333333334,230.0,215.5,1,-1,-1,Pulled Early?
Ben Roethlisberger,195.5,252.66666666666666,295.0,238.125,1,1,-1,QB Pulled?
Brock Purdy,210.2,247.33333333333334,251.85714285714286,303.6666666666667,1,1,1,Expected
Bryce Young,145.33333333333334,204.75,198.2,157.75,1,-1,-1,Pulled Early?
C.J. Stroud,180.5,267.5,288.2,352.5,1,1,1,Expected
Carson Wentz,139.5,162.33333333333334,185.25,274.4166666666667,1,1,1,Expected
Dak Prescott,231.66666666666666,239.15384615384616,286.44444444444446,289.5,1,1,1,Expected
Daniel Jones,184.625,169.2,204.0,243.125,-1,1,1,Clutch
Davis Mills,184.25,223.625,226.0,239.5,1,1,1,Expected
Derek Carr,222.55555555555554,240.0,271.15384615384613,257.8181818181818,1,1,-1,QB Pulled?
Deshaun Watson,172.33333333333334,214.0,172.5,154.0,1,-1,-1,Pulled Early?
Desmond Ridder,141.8,232.0,196.75,259.2,1,-1,1,Trap Games?
Gardner Minshew II,248.16666666666666,210.33333333333334,213.5,265.5,-1,1,1,Clutch
Geno Smith,247.125,202.71428571428572,227.33333333333334,334.2,-1,1,1,Clutch
Jacoby Brissett,248.25,254.66666666666666,210.83333333333334,225.0,1,-1,1,Trap Games?
Jalen Hurts,204.0909090909091,227.75,211.25,265.8333333333333,1,-1,1,Trap Games?
Jameis Winston,158.33333333333334,148.0,282.6666666666667,185.66666666666666,-1,1,-1,Clutch Protected
Jared Goff,243.13333333333333,236.06666666666666,281.375,281.9,-1,1,1,Clutch
Jimmy Garoppolo,242.25,236.57142857142858,220.27272727272728,250.0,-1,-1,1,Gamer?
Joe Burrow,233.46153846153845,277.6363636363636,259.8181818181818,349.7142857142857,1,-1,1,Trap Games?
Joe Flacco,308.0,285.0,290.8333333333333,311.0,-1,1,1,Clutch
Jordan Love,212.33333333333334,220.5,245.125,262.0,1,1,1,Expected
Josh Allen,206.72727272727272,278.09090909090907,236.75,301.375,1,-1,1,Trap Games?
Joshua Dobbs,209.66666666666666,198.66666666666666,203.0,159.0,-1,1,-1,Clutch Protected
Justin Fields,155.63636363636363,186.88888888888889,159.71428571428572,190.1818181818182,1,-1,1,Trap Games?
Justin Herbert,241.14285714285714,275.93333333333334,278.15384615384613,287.0,1,1,1,Expected
Kenny Pickett,191.375,183.66666666666666,160.85714285714286,198.33333333333334,-1,-1,1,Gamer?
Kirk Cousins,230.0,302.3636363636364,193.0,322.8181818181818,1,-1,1,Trap Games?
Kyler Murray,212.14285714285714,180.66666666666666,245.2,293.3,-1,1,1,Clutch
Lamar Jackson,159.88888888888889,207.9,252.27272727272728,250.9,1,1,-1,QB Pulled?
Mac Jones,182.0,174.55555555555554,231.23076923076923,259.8888888888889,-1,1,1,Clutch
Marcus Mariota,160.8,162.75,191.0,,1,1,-1,QB Pulled?
Matt Ryan,195.42857142857142,237.6,240.83333333333334,274.90909090909093,1,1,1,Expected
Matthew Stafford,240.9,279.85714285714283,263.84615384615387,285.45454545454544,1,-1,1,Trap Games?
Patrick Mahomes,279.25,265.77777777777777,309.1818181818182,296.38461538461536,-1,1,-1,Clutch Protected
Russell Wilson,176.4,235.25,206.375,247.78571428571428,1,-1,1,Trap Games?
Ryan Tannehill,163.5,205.5,199.875,258.1818181818182,1,-1,1,Trap Games?
Sam Darnold,185.33333333333334,171.5,194.66666666666666,251.8,-1,1,1,Clutch
Sam Howell,166.5,205.75,267.6666666666667,343.5,1,1,1,Expected
Taylor Heinicke,207.5,229.25,199.75,202.5,1,-1,1,Trap Games?
Taysom Hill,41.833333333333336,0.0,48.583333333333336,68.4,-1,1,1,Clutch
Teddy Bridgewater,93.5,201.0,293.75,174.5,1,1,-1,QB Pulled?
Tom Brady,260.1,299.0,303.25,354.0,1,1,1,Expected
Trevor Lawrence,229.69230769230768,206.0,262.6666666666667,240.42857142857142,-1,1,-1,Clutch Protected
Tua Tagovailoa,212.55555555555554,267.5,298.1111111111111,288.2857142857143,1,1,-1,QB Pulled?
Tyrod Taylor,111.0,,223.75,210.25,-1,-1,-1,WTF?
Zach Wilson,151.77777777777777,181.88888888888889,202.0,219.14285714285714,1,1,1,Expected
